"TimeCreated","Id","LevelDisplayName","Message"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:07.121
ProcessGuid: {99ef7bdc-bd4b-68aa-874e-000000001f00}
ProcessId: 25820
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 62593
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:40:09","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:10:07.120
ProcessGuid: {99ef7bdc-bd4b-68aa-874e-000000001f00}
ProcessId: 25820
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 53548
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:39:51","5","Information","Process terminated:
RuleName: -
UtcTime: 2025-08-24 15:09:51.319
ProcessGuid: {99ef7bdc-2b3e-68ab-405e-000000001f00}
ProcessId: 54228
Image: C:\Users\DELL\Desktop\insider-threat-detection\cyber-env\Scripts\python.exe
User: DESKTOP-U5F5T3L\DELL"
"24-08-2025 20:39:51","5","Information","Process terminated:
RuleName: -
UtcTime: 2025-08-24 15:09:51.303
ProcessGuid: {99ef7bdc-2b3e-68ab-415e-000000001f00}
ProcessId: 21388
Image: C:\Users\DELL\AppData\Local\Programs\Python\Python311\python.exe
User: DESKTOP-U5F5T3L\DELL"
"24-08-2025 20:39:47","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:09:45.092
ProcessGuid: {99ef7bdc-ed17-68aa-9c53-000000001f00}
ProcessId: 17184
Image: C:\Users\DELL\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: tcp
Initiated: true
SourceIsIpv6: true
SourceIp: 2402:8100:25da:ae5a:7953:108e:dfca:e64c
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 55458
SourcePortName: -
DestinationIsIpv6: true
DestinationIp: 2620:1ec:bdf:0:0:0:0:58
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https"
"24-08-2025 20:39:46","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:09:44.442
ProcessGuid: {99ef7bdc-ed17-68aa-9c53-000000001f00}
ProcessId: 17184
Image: C:\Users\DELL\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 59588
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:39:46","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:09:44.442
ProcessGuid: {99ef7bdc-ed17-68aa-9c53-000000001f00}
ProcessId: 17184
Image: C:\Users\DELL\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 60202
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:39:46","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:09:44.441
ProcessGuid: {99ef7bdc-ed17-68aa-9c53-000000001f00}
ProcessId: 17184
Image: C:\Users\DELL\AppData\Local\Programs\Microsoft VS Code\Code.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 55737
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
"24-08-2025 20:39:45","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:09:42.942
ProcessGuid: {99ef7bdc-1d14-68ab-ea5b-000000001f00}
ProcessId: 50908
Image: C:\Program Files\Microsoft OneDrive\25.140.0720.0001\Microsoft.SharePoint.exe
User: DESKTOP-U5F5T3L\DELL
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 55456
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 13.107.137.11
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https"
"24-08-2025 20:39:45","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:09:42.942
ProcessGuid: {99ef7bdc-1d14-68ab-e95b-000000001f00}
ProcessId: 22260
Image: C:\Program Files\Microsoft OneDrive\25.140.0720.0001\Microsoft.SharePoint.exe
User: NT AUTHORITY\SYSTEM
Protocol: tcp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 55457
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 13.107.137.11
DestinationHostname: -
DestinationPort: 443
DestinationPortName: https"
"24-08-2025 20:39:44","3","Information","Network connection detected:
RuleName: -
UtcTime: 2025-08-24 15:09:42.217
ProcessGuid: {99ef7bdc-532b-6887-2e00-000000001f00}
ProcessId: 2424
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\NETWORK SERVICE
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.43.252
SourceHostname: DESKTOP-U5F5T3L
SourcePort: 64289
SourcePortName: -
DestinationIsIpv6: false
DestinationIp: 192.168.43.1
DestinationHostname: -
DestinationPort: 53
DestinationPortName: domain"
